Id,Predicted
2539,77.11
5121,72.82666666666667
5203,72.99666666666667
5238,312.1333333333333
6848,154.83
7322,117.63
7726,119.77
7750,210.27333333333334
8025,129.75333333333333
9783,85.99
12048,63.98
14287,260.1566666666667
14290,192.69666666666666
14314,181.06
14322,236.24
15711,199.87666666666667
16421,112.35
18127,264.7266666666667
18728,188.86333333333334
19601,143.08333333333334
20299,91.95333333333333
20724,68.85
20853,460.44666666666666
20913,175.47333333333333
21293,140.87
22911,153.16333333333333
25406,165.40666666666667
27531,94.86666666666666
27659,180.29666666666665
28321,81.05388888888888
29013,69.90333333333334
29455,193.36666666666667
32037,157.46
32100,155.42
32965,127.35666666666667
32969,194.03333333333333
33223,103.11
36121,88.78666666666666
36442,152.16333333333333
38638,280.33666666666664
40039,177.95333333333335
42580,90.37
43957,64.20666666666666
44096,60.07
44212,114.84666666666666
44221,218.81333333333333
47926,292.21
50447,138.06666666666666
51572,127.83666666666667
53137,182.29333333333332
55498,75.49666666666667
55982,81.79333333333334
57297,235.17666666666668
57618,188.11666666666667
57874,251.29
58059,71.59333333333333
58467,72.82333333333334
60164,820.04
60666,75.56333333333333
60794,190.04
61406,61.27333333333333
62427,247.96666666666667
63299,65.97333333333333
63657,174.08
63719,85.75333333333333
64277,72.76666666666667
64837,119.58333333333333
65562,190.20666666666668
65615,178.46
66741,223.19666666666666
67299,183.67333333333335
68305,72.22
68765,212.93
69921,61.99
71248,234.82
72265,78.76
74073,226.78333333333333
77765,220.55333333333334
82638,284.95666666666665
83446,166.06
84059,131.41333333333333
89621,132.45333333333335
93313,129.43666666666667
98663,259.80333333333334
112435,101.81666666666666
117425,194.02666666666667
118061,153.89
120362,186.62666666666667
121861,200.27333333333334
123784,240.96
132695,174.65333333333334
138216,156.03
140973,199.83333333333334
144087,210.91
145188,234.93
148825,211.15666666666667
150804,183.79666666666665
151478,79.36333333333333
152263,219.40666666666667
155296,235.45666666666668
161366,56.873333333333335
162493,181.04
162508,158.82
163836,81.0
165824,53.94
166541,74.50666666666666
167482,211.72333333333333
168546,189.29
170420,174.62
172700,112.95333333333333
172870,83.51666666666667
174966,604.3266666666667
176135,132.34666666666666
180507,118.21333333333334
188674,205.40666666666667
193105,100.22
193333,88.01266666666666
195233,63.27333333333333
195971,165.53
200645,94.53333333333333
204833,76.30666666666667
206772,203.38
206957,120.27666666666667
208889,183.63333333333333
213272,88.87
219818,214.65666666666667
220351,80.72
220946,322.8933333333333
221043,150.23333333333332
221097,167.12333333333333
225297,315.22333333333336
226021,204.56666666666666
227735,287.6066666666667
230321,148.03666666666666
232618,184.98666666666668
234184,272.85333333333335
236788,238.64666666666668
239899,103.94
243708,172.19666666666666
246351,556.46
250311,65.58333333333333
250536,105.69333333333333
251262,99.68
251277,141.61666666666667
253815,198.76
254409,140.76
255476,114.43333333333334
255601,143.39333333333335
256369,342.5466666666667
258686,64.09333333333333
258740,62.17
262343,207.13333333333333
262405,120.07
262478,114.95333333333333
263502,204.76666666666668
265506,212.89
265831,267.9866666666667
266756,285.7866666666667
267376,103.96333333333334
267652,71.17666666666666
268392,160.07333333333332
268481,205.7
269889,104.12333333333333
270231,58.916666666666664
270345,282.05
270680,127.69666666666667
271128,60.67
271694,314.91333333333336
272026,119.14
274376,249.53666666666666
276317,335.95
281756,157.84666666666666
282514,71.05666666666667
282977,105.89
283184,190.90333333333334
284208,68.76333333333334
286838,85.48333333333333
287397,176.66333333333333
287408,206.43666666666667
289288,356.46666666666664
290457,215.34333333333333
293004,141.66
295231,67.12
295379,202.88
296361,80.90333333333334
297962,160.32333333333332
298759,65.83333333333333
301034,97.11333333333333
303345,230.56
310338,71.64666666666666
317905,149.12
320876,170.98055555555558
329064,174.8
333189,87.99333333333334
334607,215.16333333333333
335819,190.50666666666666
342995,71.87
351530,189.68333333333334
353317,258.6333333333333
359982,82.81
360400,141.45666666666668
361803,116.21
364785,86.27666666666667
369411,83.51666666666667
380416,214.64666666666668
380730,124.33333333333333
386555,92.76333333333334
387377,251.26666666666668
393016,154.81666666666666
394026,72.71
397034,180.02333333333334
398281,346.37
404502,92.16
430665,172.70666666666668
431865,206.35333333333332
433218,379.04
437906,156.12
438513,121.58333333333333
443646,263.38
447766,109.18666666666667
448048,66.11666666666666
453161,167.73666666666668
454763,115.62333333333333
454929,194.81666666666666
455734,110.26
457829,288.06666666666666
461050,217.29666666666665
467634,68.86666666666666
476570,123.04666666666667
478949,215.66666666666666
479002,227.25
479285,72.91333333333333
483414,67.24
484728,133.33333333333334
486350,144.81666666666666
488083,167.63333333333333
490011,114.48666666666666
491977,217.75
495249,57.47666666666667
498120,59.39333333333333
503460,65.46666666666667
503529,217.50666666666666
505315,55.266666666666666
506121,96.77666666666667
507393,67.36333333333333
514457,135.58
518566,251.63333333333333
519310,59.96333333333333
521806,103.21666666666667
528485,57.12
532749,200.09
533625,123.49333333333334
539160,142.41666666666666
539350,188.64333333333335
544039,95.63333333333334
545261,161.92666666666668
546383,59.12
546573,246.96666666666667
548184,141.42666666666668
550777,261.9866666666667
552141,189.24666666666667
557487,143.5
564049,263.5466666666667
565814,62.833333333333336
567195,120.54333333333334
575061,97.95
577324,134.02333333333334
577824,83.29333333333334
578267,85.79599999999999
580323,109.33666666666667
581421,87.48
582372,62.3
585937,196.70333333333335
588677,169.22333333333333
591135,216.19666666666666
592853,131.28666666666666
593320,55.9
594732,483.39
595321,90.22666666666667
597624,207.66666666666666
606269,235.25666666666666
607735,367.50666666666666
607781,136.88666666666666
609213,116.19333333333333
611009,257.37666666666667
616585,244.81666666666666
618916,261.9633333333333
